ID,URL,Video_ID,Titulo,Canal,Fecha_Subida,Duracion_Segundos,Resolucion,FPS,Formato,FileSize_Bytes,Thumbnail_URL,Ruta_Portada
1,https://www.youtube.com/watch?v=jkREZ1KHgQo,jkREZ1KHgQo,Introducción a la Arquitectura de Sistemas - Clase 1: Introducción,Clases Virtuales,20200321,9554,744x720,10,mp4,139787329,https://i.ytimg.com/vi/jkREZ1KHgQo/maxresdefault.jpg,portadas-yt\jkREZ1KHgQo.jpg
2,https://www.youtube.com/watch?v=IzyjztxOIoY,IzyjztxOIoY,Introducción a la Arquitectura de Sistemas - Clase 2: Sistemas de representación de coma fija,Clases Virtuales,20200325,9336,1280x720,10,mp4,133174948,https://i.ytimg.com/vi/IzyjztxOIoY/hqdefault.jpg,portadas-yt\IzyjztxOIoY.jpg
3,https://www.youtube.com/watch?v=5lHYykk7suA,5lHYykk7suA,Introducción a la Arquitectura de Sistemas - Clase 3: Sistemas de representación de coma flotante,Clases Virtuales,20200402,10012,1280x720,30,mp4,308946277,https://i.ytimg.com/vi/5lHYykk7suA/maxresdefault.jpg,portadas-yt\5lHYykk7suA.jpg
4,https://www.youtube.com/watch?v=4i4p_S2MPU0,4i4p_S2MPU0,Introducción a la Arquitectura de Sistemas - Clase 4: Coma Flotante y Representación de texto,Clases Virtuales,20200408,10004,1280x720,30,mp4,233920013,https://i.ytimg.com/vi/4i4p_S2MPU0/maxresdefault.jpg,portadas-yt\4i4p_S2MPU0.jpg
5,https://www.youtube.com/watch?v=7v_OLMDKFFg,7v_OLMDKFFg,Introducción a la Arquitectura de Sistemas - Clase 5: Representación de imágenes y vídeos,Clases Virtuales,20200415,9084,1280x720,30,mp4,276037492,https://i.ytimg.com/vi/7v_OLMDKFFg/hqdefault.jpg,portadas-yt\7v_OLMDKFFg.jpg
6,https://www.youtube.com/watch?v=n6XvfUG4QBQ,n6XvfUG4QBQ,Introducción a la arquitectura de software (01),Maximiliano Cristiá,20190503,1754,1280x720,60,mp4,182422840,https://i.ytimg.com/vi/n6XvfUG4QBQ/maxresdefault.jpg,portadas-yt\n6XvfUG4QBQ.jpg
7,https://www.youtube.com/watch?v=CbZPHgN6e90,CbZPHgN6e90,Matemática para programadores (01),Maximiliano Cristiá,20180227,1270,1920x1080,25,mp4,129578979,https://i.ytimg.com/vi/CbZPHgN6e90/maxresdefault.jpg,portadas-yt\CbZPHgN6e90.jpg
8,https://www.youtube.com/watch?v=fGHv_OlPKjw,fGHv_OlPKjw,Formalizar o no formalizar esa NO es la cuestión,Maximiliano Cristiá,20190403,843,1280x720,60,mp4,98639209,https://i.ytimg.com/vi/fGHv_OlPKjw/maxresdefault.jpg,portadas-yt\fGHv_OlPKjw.jpg
9,https://www.youtube.com/watch?v=kvLonxrJvtU,kvLonxrJvtU,Matemática para programadores (02),Maximiliano Cristiá,20180313,968,1920x1080,25,mp4,102545763,https://i.ytimg.com/vi/kvLonxrJvtU/maxresdefault.jpg,portadas-yt\kvLonxrJvtU.jpg
10,https://www.youtube.com/watch?v=TvqJQukWk8o,TvqJQukWk8o,S01 Definición y características de un algoritmo - Principios de Algoritmos UTP | Semana 01,University City,20250407,2836,640x360,25,mp4,43924371,https://i.ytimg.com/vi/TvqJQukWk8o/hqdefault.jpg,portadas-yt\TvqJQukWk8o.jpg
